BTF/QUATB101        68.110  -       2
BTF/QUATB102        50.100  +       2
BTF/QUATB001        58.300  -       2
BTF/QUATB002        37.000  +       2
BTF/QUATB003        47.600  -       2
BTF/QUATB004        50.000  +       2
BTF/DHSTB001        312.840   +       2
BTF/DHSTB002        334.000  +       2
